iter	Passed	Remaining
0	1	188
1	3	163
2	5	165
3	6	158
4	8	161
5	9	154
6	11	149
7	12	144
8	13	140
9	15	139
10	16	132
11	17	127
12	18	125
13	20	124
14	22	127
15	23	125
16	25	124
17	26	122
18	28	120
19	29	119
20	31	117
21	32	115
22	33	112
23	34	110
24	36	108
25	37	107
26	39	105
27	40	104
28	42	103
29	43	102
30	45	100
31	46	99
32	48	97
33	50	98
34	52	97
35	53	95
36	54	93
37	56	92
38	57	90
39	59	89
40	60	86
41	60	83
42	61	81
43	62	79
44	64	78
45	66	77
46	67	76
47	68	74
48	70	73
49	71	71
50	72	70
51	74	68
52	75	66
53	76	65
54	77	63
55	79	62
56	80	60
57	81	59
58	83	57
59	84	56
60	85	54
61	86	53
62	88	51
63	89	50
64	90	48
65	91	47
66	93	45
67	94	44
68	95	43
69	96	41
70	98	40
71	99	38
72	100	37
73	102	36
74	104	34
75	106	33
76	108	32
77	110	31
78	111	29
79	113	28
80	114	26
81	115	25
82	116	23
83	117	22
84	118	20
85	120	19
86	121	18
87	122	16
88	123	15
89	125	13
90	126	12
91	127	11
92	128	9
93	130	8
94	131	6
95	132	5
96	133	4
97	134	2
98	135	1
99	137	0
