iter	Passed	Remaining
0	110	110860
1	112	56160
2	113	37704
3	114	28488
4	115	22954
5	116	19241
6	117	16649
7	118	14690
8	119	13194
9	121	12032
10	122	11014
11	123	10171
12	124	9467
13	125	8847
14	126	8321
15	127	7860
16	129	7465
17	130	7105
18	131	6785
19	132	6497
20	134	6259
21	137	6106
22	138	5887
23	139	5683
24	140	5494
25	141	5314
26	142	5150
27	143	4998
28	145	4855
29	145	4718
30	147	4595
31	148	4481
32	149	4385
33	151	4297
34	152	4199
35	153	4108
36	154	4021
37	155	3933
38	156	3850
39	157	3769
40	157	3690
41	158	3615
42	159	3543
43	159	3475
44	160	3413
45	161	3350
46	162	3303
47	164	3262
48	165	3213
49	166	3159
50	167	3112
51	168	3064
52	168	3018
53	170	2980
54	170	2937
55	172	2900
56	173	2864
57	174	2829
58	175	2793
59	175	2755
60	177	2728
61	178	2707
62	179	2676
63	180	2643
64	181	2611
65	182	2582
66	183	2553
67	184	2525
68	185	2498
69	185	2470
70	186	2442
71	187	2415
72	188	2389
73	188	2363
74	189	2339
75	190	2316
76	191	2300
77	193	2287
78	194	2268
79	195	2247
80	196	2225
81	197	2206
82	197	2182
83	198	2166
84	199	2149
85	200	2133
86	201	2115
87	202	2098
88	203	2081
89	204	2064
90	205	2049
91	206	2036
92	207	2026
93	208	2012
94	209	1996
95	210	1981
96	211	1966
97	212	1952
98	212	1937
99	213	1922
100	214	1908
101	215	1894
102	215	1880
103	216	1869
104	217	1856
105	218	1845
106	219	1834
107	220	1823
108	222	1821
109	224	1812
110	224	1800
111	225	1790
112	226	1778
113	227	1767
114	228	1755
115	228	1744
116	229	1732
117	230	1720
118	231	1710
119	231	1700
120	232	1690
121	233	1678
122	234	1670
123	235	1661
124	236	1658
125	238	1654
126	239	1645
127	240	1635
128	240	1626
129	241	1618
130	242	1611
131	243	1603
132	244	1594
133	245	1585
134	246	1577
135	246	1568
136	247	1561
137	248	1552
138	249	1545
139	250	1538
140	252	1537
141	253	1531
142	254	1525
143	255	1518
144	256	1511
145	257	1504
146	258	1497
147	258	1489
148	259	1481
149	260	1474
150	261	1468
151	261	1461
152	262	1454
153	263	1448
154	264	1441
155	265	1437
156	267	1436
157	268	1430
158	269	1423
159	270	1418
160	270	1410
161	271	1405
162	272	1400
163	273	1394
164	274	1387
165	275	1382
166	276	1377
167	276	1370
168	277	1364
169	278	1358
170	279	1353
171	280	1348
